method,strategy,label_fraction,AUC,F1,Accuracy
,,,,,
mae,frozen,1%,0.7537 ± 0.0046,0.7084 ± 0.0198,0.6732 ± 0.0341
mae,frozen,10%,0.8079 ± 0.0005,0.7101 ± 0.0107,0.7304 ± 0.0035
mae,frozen,5%,0.7951 ± 0.0021,0.6877 ± 0.0444,0.7158 ± 0.0118
mae,full,1%,0.7292 ± 0.0426,0.5978 ± 0.1040,0.5781 ± 0.0662
mae,full,10%,0.8492 ± 0.0203,0.7753 ± 0.0143,0.7720 ± 0.0169
mae,full,5%,0.8323 ± 0.0092,0.7306 ± 0.0558,0.7446 ± 0.0155
mae,partial,1%,0.8220 ± 0.0061,0.7508 ± 0.0222,0.7479 ± 0.0046
mae,partial,10%,0.8365 ± 0.0194,0.7272 ± 0.0157,0.7478 ± 0.0054
mae,partial,5%,0.8498 ± 0.0032,0.7476 ± 0.0358,0.7601 ± 0.0129
mae,peft,1%,0.8106 ± 0.0135,0.7458 ± 0.0359,0.6952 ± 0.0857
mae,peft,10%,0.8160 ± 0.0032,0.7413 ± 0.0297,0.7431 ± 0.0126
mae,peft,5%,0.8181 ± 0.0039,0.7428 ± 0.0039,0.7473 ± 0.0017
simclr,frozen,1%,0.8398 ± 0.0090,0.7302 ± 0.0210,0.7469 ± 0.0062
simclr,frozen,10%,0.8849 ± 0.0067,0.7486 ± 0.0062,0.7771 ± 0.0020
simclr,frozen,5%,0.8920 ± 0.0008,0.7698 ± 0.0203,0.7901 ± 0.0114
simclr,full,1%,0.8615 ± 0.0260,0.7475 ± 0.0481,0.7677 ± 0.0299
simclr,full,10%,0.9021 ± 0.0346,0.7649 ± 0.0882,0.7932 ± 0.0610
simclr,full,5%,0.9083 ± 0.0104,0.8281 ± 0.0099,0.8241 ± 0.0093
simclr,partial,1%,0.8537 ± 0.0154,0.7468 ± 0.0444,0.7623 ± 0.0252
simclr,partial,10%,0.9032 ± 0.0030,0.7720 ± 0.0295,0.7968 ± 0.0147
simclr,partial,5%,0.9133 ± 0.0020,0.8165 ± 0.0021,0.8260 ± 0.0011
simclr,peft,1%,0.8484 ± 0.0035,0.7154 ± 0.0199,0.7484 ± 0.0109
simclr,peft,10%,0.8833 ± 0.0047,0.7560 ± 0.0092,0.7808 ± 0.0054
simclr,peft,5%,0.8847 ± 0.0055,0.7263 ± 0.0516,0.7648 ± 0.0291
supervised_from_scratch,frozen,1%,0.8247 ± 0.0072,0.6101 ± 0.2570,0.6756 ± 0.0816
supervised_from_scratch,frozen,10%,0.8350 ± 0.0171,0.7605 ± 0.0244,0.7597 ± 0.0197
supervised_from_scratch,frozen,5%,0.8378 ± 0.0174,0.7745 ± 0.0207,0.7580 ± 0.0138
supervised_from_scratch,full,1%,0.8319 ± 0.0156,0.7397 ± 0.0261,0.7029 ± 0.0901
supervised_from_scratch,full,10%,0.8696 ± 0.0174,0.7787 ± 0.0240,0.7373 ± 0.0354
supervised_from_scratch,full,5%,0.8660 ± 0.0192,0.7543 ± 0.0480,0.7317 ± 0.0891
supervised_from_scratch,partial,1%,0.8398 ± 0.0132,0.7622 ± 0.0131,0.7623 ± 0.0139
supervised_from_scratch,partial,10%,0.8500 ± 0.0163,0.7609 ± 0.0248,0.7182 ± 0.0580
supervised_from_scratch,partial,5%,0.8545 ± 0.0189,0.7702 ± 0.0208,0.7285 ± 0.0319
