method,strategy,label_fraction,seed,best_epoch,best_val_auc,test_accuracy,test_f1,test_auc
supervised_from_scratch,frozen,1%,52,3,0.8018677771845826,0.740631103515625,0.7616590482066239,0.8171918580025473
supervised_from_scratch,frozen,5%,52,10,0.82400145344558,0.74310302734375,0.7509467455621301,0.8191025932730251
supervised_from_scratch,frozen,10%,52,12,0.836436972760852,0.73968505859375,0.7412485591215191,0.8159286472220113
supervised_from_scratch,partial,1%,52,4,0.8558085674678075,0.760284423828125,0.7470290811890117,0.8358109498572966
supervised_from_scratch,partial,5%,52,2,0.8819621296282082,0.723236083984375,0.7653618276370598,0.8427113678040244
supervised_from_scratch,partial,10%,52,2,0.8837551245275996,0.686920166015625,0.7428113013612776,0.831330959630076
supervised_from_scratch,full,1%,52,6,0.8413379538843022,0.60198974609375,0.7081804349771771,0.80792999673102
supervised_from_scratch,full,5%,52,2,0.8778449800428767,0.75665283203125,0.7212083071113908,0.8452241790145067
supervised_from_scratch,full,10%,52,2,0.8817082490189225,0.713653564453125,0.7616531612772118,0.856084016889769
simclr,frozen,1%,52,3,0.8823034894402516,0.77557373046875,0.7788536717387382,0.8501481252061507
simclr,frozen,5%,52,2,0.889971128640711,0.78729248046875,0.778856526429342,0.8802209501371777
simclr,frozen,10%,52,1,0.8901500414451933,0.77899169921875,0.7593860057146654,0.8770504294912183
simclr,partial,1%,52,1,0.8806215958292003,0.782318115234375,0.7743507007054506,0.865091358831065
simclr,partial,5%,52,9,0.908222503401575,0.75885009765625,0.7211124444130727,0.8656831678691329
simclr,partial,10%,52,4,0.9143160068284777,0.762969970703125,0.723328465073202,0.8822843869475088
simclr,full,1%,52,7,0.8790985133393314,0.7470703125,0.706182643221781,0.8501759587176965
simclr,full,5%,52,5,0.9204665631241229,0.809356689453125,0.8079323597232898,0.8934806539883913
simclr,full,10%,52,4,0.9229576426203161,0.75067138671875,0.7128497117953043,0.8637630094751247
simclr,peft,1%,52,6,0.8871161121916966,0.745941162109375,0.7115084728142218,0.851144361146069
simclr,peft,5%,52,3,0.8861432574027512,0.775665283203125,0.7523498298689486,0.8797127384913124
simclr,peft,10%,52,5,0.8856485477496804,0.78631591796875,0.7668331668331668,0.8822469496358206
mae,frozen,1%,52,3,0.8226704135568554,0.703338623046875,0.7099853814254602,0.7764231750545486
mae,frozen,5%,52,15,0.8265332150085769,0.7298583984375,0.7316599975748758,0.797497492571835
mae,frozen,10%,52,14,0.8303481296760186,0.7353515625,0.7207624935600206,0.8083953079259771
mae,partial,1%,52,8,0.8418096225975643,0.70465087890625,0.7352844638949672,0.7834515213561226
mae,partial,5%,52,13,0.8929992892773453,0.71966552734375,0.6553871548619448,0.8315006764364732
mae,partial,10%,52,10,0.8973529800937344,0.747467041015625,0.7283768258657476,0.8097002475534087
mae,full,1%,52,2,0.7610410814517858,0.500213623046875,0.0,0.7591230559983468
mae,full,5%,52,12,0.8443766459254374,0.754119873046875,0.7511351351351352,0.8284030206194073
mae,full,10%,52,12,0.8971349405324519,0.809967041015625,0.8045327557522679,0.8861548301636677
mae,peft,1%,52,15,0.8047779726797486,0.69757080078125,0.6509334272631209,0.7600712598990341
mae,peft,5%,52,13,0.8190837252655557,0.722686767578125,0.7135155584980611,0.7857277430618531
mae,peft,10%,52,14,0.8256096924177586,0.7286376953125,0.703560474729964,0.8039469212047723
