method,strategy,label_fraction,seed,best_epoch,best_val_auc,test_accuracy,test_f1,test_auc
simclr,frozen,1%,42,8,0.8852503325094462,0.764617919921875,0.7455379235261126,0.8651341642870533
simclr,frozen,5%,42,4,0.8977098930058103,0.805328369140625,0.800125332915557,0.8908243073165083
simclr,frozen,10%,42,6,0.8982968763142719,0.77435302734375,0.738672510072807,0.8970874453234852
simclr,partial,1%,42,2,0.8867012355766372,0.731048583984375,0.7014465259663267,0.8382841612246779
simclr,partial,5%,42,4,0.9169076506205701,0.82708740234375,0.8238622233275305,0.9115198726373679
simclr,partial,10%,42,7,0.9265206473586919,0.774078369140625,0.7304765718862635,0.8993072121070824
simclr,full,1%,42,2,0.8968385953034608,0.754119873046875,0.7264083670073687,0.8409915518335478
simclr,full,5%,42,4,0.939340235112432,0.76544189453125,0.8022334293948127,0.8886073531276
simclr,full,10%,42,4,0.9414051335906798,0.7550048828125,0.6903016742535298,0.8936258360284044
simclr,peft,1%,42,5,0.8722153501527525,0.761322021484375,0.739204374937477,0.8558712431702424
simclr,peft,5%,42,8,0.8987643652483159,0.802642822265625,0.7860238890910896,0.9003743440596119
simclr,peft,10%,42,2,0.8968942306980563,0.784820556640625,0.7601782252304343,0.8884301671127908
simclr,frozen,1%,52,2,0.8688780385909926,0.7315673828125,0.708992258320651,0.8099434270979015
simclr,frozen,5%,52,6,0.900671983700977,0.799072265625,0.7859697028801769,0.8926643347015695
simclr,frozen,10%,52,4,0.8969484244040977,0.777801513671875,0.7495786758383491,0.8882486523098647
simclr,partial,1%,52,2,0.8809235494874367,0.775726318359375,0.7601423022944613,0.8696646638720056
simclr,partial,5%,52,7,0.9221846479607589,0.82635498046875,0.8223429499188211,0.9099976870785903
simclr,partial,10%,52,11,0.9336154779921568,0.82037353515625,0.8143569040560147,0.9050652770258434
simclr,full,1%,52,2,0.8896425167827542,0.79364013671875,0.7873584905660377,0.8840454865926088
simclr,full,5%,52,3,0.9238919331717677,0.823577880859375,0.8083921646614298,0.9163928959639813
simclr,full,10%,52,2,0.935676056992683,0.825225830078125,0.8297410589529387,0.9121478318990908
simclr,peft,1%,52,5,0.8662826490163655,0.75244140625,0.727620710496273,0.8485433257319888
simclr,peft,5%,52,13,0.8977679032749617,0.775421142578125,0.738365271802894,0.9003904019263747
simclr,peft,10%,52,5,0.899678725479965,0.788848876953125,0.7671703065585355,0.8923675891980971
simclr,frozen,1%,62,11,0.8785087733137383,0.79376220703125,0.7925721301411909,0.875752031474745
simclr,frozen,5%,62,7,0.8996961840675823,0.81866455078125,0.8105712828360112,0.9035481727639603
simclr,frozen,10%,62,2,0.8993598887919447,0.79876708984375,0.7839024709969195,0.8942722727333805
simclr,partial,1%,62,2,0.883476513557939,0.779144287109375,0.7804508084822377,0.8665570093739534
simclr,partial,5%,62,3,0.9094753307549261,0.82550048828125,0.8177820267686424,0.914849284394141
simclr,partial,10%,62,12,0.9276720927142383,0.79071044921875,0.7604275833158667,0.8924962980014034
simclr,full,1%,62,7,0.8849093359135114,0.795867919921875,0.7877518641916548,0.88483686505633
simclr,full,5%,62,8,0.9270060493661503,0.82379150390625,0.8375808720112518,0.9218069209476528
simclr,full,10%,62,3,0.9347542908777127,0.81585693359375,0.8330751355538343,0.9160501840951258
simclr,peft,1%,62,8,0.869160916884267,0.754852294921875,0.7233339073531945,0.860426525253429
simclr,peft,5%,62,3,0.8935294711743704,0.796478271484375,0.7802128991859737,0.8931060443155325
simclr,peft,10%,62,8,0.8997610563272151,0.773956298828125,0.7400961437243412,0.8946389158714818
